exercise_id,keyword_id
cable-crossover-high-to-low,25
cable-crossover-high-to-low,38
cable-crossover-high-to-low,51
cable-crossover-high-to-low,52
cable-crossover-high-to-low,53
cable-crossover-high-to-low,54
cable-crossover-high-to-low,55
cable-crossover-high-to-low,56
cable-crossover-high-to-low,57
cable-crossover-high-to-low,58
cable-crossover-high-to-low,59
cable-crossover-high-to-low,60
cable-crossover-high-to-low,61
cable-crossover-high-to-low,62
cable-crossover-high-to-low,63
cable-crossover-high-to-low,154
cable-crossover-high-to-low,155
cable-crossover-high-to-low,156
cable-crossover-high-to-low,157
cable-crossover-high-to-low,158
cable-crossover-high-to-low,159
one-arm-push-up,160
one-arm-push-up,161
one-arm-push-up,162
one-arm-push-up,163
one-arm-push-up,164
one-arm-push-up,165
one-arm-push-up,166
one-arm-push-up,167
one-arm-push-up,168
one-arm-push-up,169
one-arm-push-up,170
hammer-chest-press-one-arm,26
hammer-chest-press-one-arm,27
hammer-chest-press-one-arm,28
hammer-chest-press-one-arm,29
hammer-chest-press-one-arm,6
hammer-chest-press-one-arm,7
hammer-chest-press-one-arm,8
hammer-chest-press-one-arm,18
hammer-chest-press-one-arm,30
hammer-chest-press-one-arm,171
hammer-chest-press-one-arm,172
hammer-chest-press-one-arm,173
hammer-chest-press-one-arm,174
hammer-chest-press-one-arm,175
hammer-chest-press-one-arm,176
hammer-chest-press-one-arm,177
cable-pullover,178
cable-pullover,179
cable-pullover,180
cable-pullover,181
cable-pullover,182
cable-pullover,183
cable-pullover,184
cable-pullover,185
cable-pullover,186
cable-pullover,187
cable-pullover,188
cable-pullover,6
cable-pullover,16
cable-pullover,17
cable-pullover,53
cable-pullover,54
cable-pullover,55
cable-pullover,56
dumbbell-fly-decline-bench,6
dumbbell-fly-decline-bench,12
dumbbell-fly-decline-bench,13
dumbbell-fly-decline-bench,16
dumbbell-fly-decline-bench,17
dumbbell-fly-decline-bench,19
dumbbell-fly-decline-bench,20
dumbbell-fly-decline-bench,25
weighted-push-ups,1
weighted-push-ups,2
weighted-push-ups,3
weighted-push-ups,6
weighted-push-ups,7
weighted-push-ups,8
weighted-push-ups,10
weighted-push-ups,20
weighted-push-ups,189
weighted-push-ups,190
weighted-push-ups,191
weighted-push-ups,192
weighted-push-ups,193
weighted-push-ups,194
weighted-push-ups,195
weighted-push-ups,196
weighted-push-ups,197
dumbbell-bench-press-alternating-floor,6
dumbbell-bench-press-alternating-floor,12
dumbbell-bench-press-alternating-floor,13
dumbbell-bench-press-alternating-floor,17
dumbbell-bench-press-alternating-floor,18
dumbbell-bench-press-alternating-floor,198
dumbbell-bench-press-alternating-floor,199
dumbbell-bench-press-alternating-floor,200
dumbbell-bench-press-alternating-floor,201
dumbbell-bench-press-alternating-floor,202
dumbbell-bench-press-alternating-floor,203
dumbbell-bench-press-alternating-floor,204
dumbbell-bench-press-alternating-floor,205
dumbbell-bench-press-alternating-floor,206
dumbbell-bench-press-alternating-floor,207
dumbbell-bench-press-alternating-floor,208
alternating-dumbbell-bench-press,6
alternating-dumbbell-bench-press,12
alternating-dumbbell-bench-press,13
alternating-dumbbell-bench-press,16
alternating-dumbbell-bench-press,17
alternating-dumbbell-bench-press,18
alternating-dumbbell-bench-press,198
alternating-dumbbell-bench-press,201
alternating-dumbbell-bench-press,207
alternating-dumbbell-bench-press,208
alternating-dumbbell-bench-press,209
alternating-dumbbell-bench-press,210
alternating-dumbbell-bench-press,211
alternating-dumbbell-bench-press,212
alternating-dumbbell-bench-press,213
alternating-dumbbell-bench-press,214
alternating-dumbbell-bench-press,215
alternating-dumbbell-bench-press,216
alternating-dumbbell-bench-press,217
incline-alternating-dumbbell-press,13
incline-alternating-dumbbell-press,48
incline-alternating-dumbbell-press,49
incline-alternating-dumbbell-press,207
incline-alternating-dumbbell-press,208
incline-alternating-dumbbell-press,218
incline-alternating-dumbbell-press,219
incline-alternating-dumbbell-press,220
incline-alternating-dumbbell-press,221
incline-alternating-dumbbell-press,222
incline-alternating-dumbbell-press,223
incline-alternating-dumbbell-press,224
svend-press,225
svend-press,226
svend-press,227
svend-press,228
svend-press,229
svend-press,230
svend-press,231
svend-press,232
svend-press,233
svend-press,235
svend-press,237
neutral-grip-barbell-bench-press,238
neutral-grip-barbell-bench-press,239
neutral-grip-barbell-bench-press,240
neutral-grip-barbell-bench-press,241
neutral-grip-barbell-bench-press,242
neutral-grip-barbell-bench-press,243
neutral-grip-barbell-bench-press,244
neutral-grip-barbell-bench-press,245
neutral-grip-barbell-bench-press,246
neutral-grip-barbell-bench-press,247
neutral-grip-barbell-bench-press,248
neutral-grip-barbell-bench-press,249
neutral-grip-barbell-bench-press,250
neutral-grip-barbell-bench-press,251
neutral-grip-barbell-bench-press,252
neutral-grip-barbell-bench-press,253
neutral-grip-barbell-bench-press,254
kettlebell-floor-press,255
kettlebell-floor-press,256
kettlebell-floor-press,257
kettlebell-floor-press,258
kettlebell-floor-press,259
kettlebell-floor-press,260
kettlebell-floor-press,261
kettlebell-floor-press,262
kettlebell-floor-press,263
kettlebell-floor-press,6
kettlebell-floor-press,18
kettlebell-floor-press,17
landmine-press,264
landmine-press,265
landmine-press,266
landmine-press,267
landmine-press,268
landmine-press,269
landmine-press,62
landmine-press,71
landmine-press,270
landmine-press,271
landmine-press,6
landmine-press,7
trx-push-ups,1
trx-push-ups,2
trx-push-ups,3
trx-push-ups,6
trx-push-ups,7
trx-push-ups,8
trx-push-ups,10
trx-push-ups,127
trx-push-ups,272
trx-push-ups,273
trx-push-ups,274
trx-push-ups,275
trx-push-ups,276
trx-push-ups,277
trx-push-ups,278
trx-push-ups,279
trx-push-ups,280
trx-push-ups,281
trx-push-ups,282
trx-push-ups,283
diamond-push-ups,1
diamond-push-ups,2
diamond-push-ups,3
diamond-push-ups,6
diamond-push-ups,8
diamond-push-ups,85
diamond-push-ups,88
diamond-push-ups,287
diamond-push-ups,288
diamond-push-ups,289
diamond-push-ups,290
diamond-push-ups,291
diamond-push-ups,292
diamond-push-ups,293
push-ups-with-pause,1
push-ups-with-pause,2
push-ups-with-pause,6
push-ups-with-pause,294
push-ups-with-pause,295
push-ups-with-pause,296
push-ups-with-pause,297
push-ups-with-pause,298
push-ups-with-pause,299
push-ups-with-pause,300
push-ups-with-pause,301
archer-push-ups,1
archer-push-ups,2
archer-push-ups,3
archer-push-ups,6
archer-push-ups,7
archer-push-ups,163
archer-push-ups,164
archer-push-ups,302
archer-push-ups,303
archer-push-ups,304
archer-push-ups,305
archer-push-ups,306
archer-push-ups,307
archer-push-ups,308
barbell-floor-press,76
barbell-floor-press,77
barbell-floor-press,261
barbell-floor-press,262
barbell-floor-press,263
barbell-floor-press,309
barbell-floor-press,310
barbell-floor-press,311
barbell-floor-press,312
barbell-floor-press,313
hammer-strength-chest-press,314
hammer-strength-chest-press,315
hammer-strength-chest-press,316
hammer-strength-chest-press,317
hammer-strength-chest-press,318
standing-cable-crossover-press,6
standing-cable-crossover-press,18
standing-cable-crossover-press,51
standing-cable-crossover-press,53
standing-cable-crossover-press,54
standing-cable-crossover-press,62
standing-cable-crossover-press,63
standing-cable-crossover-press,64
standing-cable-crossover-press,65
standing-cable-crossover-press,70
standing-cable-crossover-press,71
incline-hammer-strength-press,49
incline-hammer-strength-press,50
incline-hammer-strength-press,314
incline-hammer-strength-press,315
incline-hammer-strength-press,316
incline-hammer-strength-press,319
incline-hammer-strength-press,320
incline-hammer-strength-press,321
incline-hammer-strength-press,322
explosive-medicine-ball-press,323
explosive-medicine-ball-press,324
explosive-medicine-ball-press,325
explosive-medicine-ball-press,326
